 15
 39 0.4320901437146291
 106.6701000000000 (11446.00000000000,-44.43999862670898) 5.000000000000000E-02 2.500000000000000E-02
 160.0000000000000 (11469.00000000000,-48.04999923706055) 5.000000000000000E-02 2.500000000000000E-02
 213.3288000000000 (11124.00000000000,-50.40999984741211) 5.000000000000000E-02 2.500000000000000E-02
 320.0000000000000 (10454.00000000000,-53.38999938964844) 5.000000000000000E-02 2.500000000000000E-02
 426.6758000000000 (9913.000000000000,-55.63000106811523) 5.000000000000000E-02 2.500000000000000E-02
 640.0000000000000 (8913.000000000000,-59.24000167846680) 5.000000000000000E-02 2.500000000000000E-02
 853.3151000000000 (8008.000000000000,-61.83000183105469) 5.000000000000000E-02 2.500000000000000E-02
 1280.000000000000 (6638.000000000000,-64.95999908447266) 5.000000000000000E-02 2.500000000000000E-02
 1706.689000000000 (5726.000000000000,-66.76000213623047) 5.000000000000000E-02 2.500000000000000E-02
 2559.967000000000 (4596.000000000000,-69.00000000000000) 5.000000000000000E-02 2.500000000000000E-02
 3413.319000000000 (3889.000000000000,-70.55999755859375) 5.000000000000000E-02 2.500000000000000E-02
 5120.066000000000 (2986.000000000000,-72.69000244140625) 5.000000000000000E-02 2.500000000000000E-02
 6826.871000000000 (2412.000000000000,-73.84999847412109) 5.000000000000000E-02 2.500000000000000E-02
 10240.03000000000 (1730.000000000000,-74.33999633789063) 5.000000000000000E-02 2.500000000000000E-02
 13653.00000000000 (1350.000000000000,-73.54000091552734) 5.000000000000000E-02 2.500000000000000E-02
 21 0.7730504009299601
 2.500000000000000E-02 (375.8999938964844,-29.63999938964844) 5.000000000000000E-02 2.500000000000000E-02
 3.570154000000000E-02 (393.7999877929687,-31.50000000000000) 5.000000000000000E-02 2.500000000000000E-02
 5.000000000000000E-02 (416.8999938964844,-31.82999992370605) 5.000000000000000E-02 2.500000000000000E-02
 7.137759000000000E-02 (456.2999877929687,-31.68000030517578) 5.000000000000000E-02 2.500000000000000E-02
 9.990010000000001E-02 (504.7000122070313,-31.73999977111816) 5.000000000000000E-02 2.500000000000000E-02
 0.1427959000000000 (560.7999877929687,-31.97999954223633) 5.000000000000000E-02 2.500000000000000E-02
 0.1998801000000000 (619.4000244140625,-32.09999847412109) 5.000000000000000E-02 2.500000000000000E-02
 0.2857143000000000 (698.0999755859375,-32.27000045776367) 5.000000000000000E-02 2.500000000000000E-02
 0.4000000000000000 (791.0999755859375,-33.08000183105469) 5.000000000000000E-02 2.500000000000000E-02
 0.5714286000000000 (892.7999877929687,-35.00000000000000) 5.000000000000000E-02 2.500000000000000E-02
 0.8000000000000000 (965.5000000000000,-37.45999908447266) 5.000000000000000E-02 2.500000000000000E-02
 1.142857000000000 (1007.000000000000,-39.93000030517578) 5.000000000000000E-02 2.500000000000000E-02
 1.600000000000000 (1029.000000000000,-41.75000000000000) 5.000000000000000E-02 2.500000000000000E-02
 2.285714000000000 (1051.000000000000,-43.54999923706055) 5.000000000000000E-02 2.500000000000000E-02
 3.200000000000000 (1060.000000000000,-45.65000152587891) 5.000000000000000E-02 2.500000000000000E-02
 4.570384000000000 (1029.000000000000,-48.13999938964844) 5.000000000000000E-02 2.500000000000000E-02
 6.402049000000000 (958.5999755859375,-49.88000106811523) 5.000000000000000E-02 2.500000000000000E-02
 9.140768000000000 (871.2999877929687,-50.31000137329102) 5.000000000000000E-02 2.500000000000000E-02
 12.80000000000000 (809.5000000000000,-49.40999984741211) 5.000000000000000E-02 2.500000000000000E-02
 18.28588000000000 (778.7999877929687,-47.91999816894531) 5.000000000000000E-02 2.500000000000000E-02
 25.60033000000000 (773.5000000000000,-46.77000045776367) 5.000000000000000E-02 2.500000000000000E-02
 39 1.034258717799454
 2.500000000000000E-02 (1381.000000000000,-16.44000053405762) 5.000000000000000E-02 2.500000000000000E-02
